Total Nacional	Provincias	Tipo de dato	Periodo	Total
Total Nacional	34 Palencia	Dato base	2014SM03	53
Total Nacional	34 Palencia	Dato base	2014SM02	54
Total Nacional	34 Palencia	Dato base	2014SM01	43
Total Nacional	34 Palencia	Dato base	2013SM52	54
Total Nacional	34 Palencia	Dato base	2013SM51	37
Total Nacional	34 Palencia	Dato base	2013SM50	43
Total Nacional	34 Palencia	Dato base	2013SM49	36
Total Nacional	34 Palencia	Dato base	2013SM48	41
Total Nacional	34 Palencia	Dato base	2013SM47	33
Total Nacional	34 Palencia	Dato base	2013SM46	43
Total Nacional	34 Palencia	Dato base	2013SM45	36
Total Nacional	34 Palencia	Dato base	2013SM44	41
Total Nacional	34 Palencia	Dato base	2013SM43	33
Total Nacional	34 Palencia	Dato base	2013SM42	37
Total Nacional	34 Palencia	Dato base	2013SM41	34
Total Nacional	34 Palencia	Dato base	2013SM40	40
Total Nacional	34 Palencia	Dato base	2013SM39	39
Total Nacional	34 Palencia	Dato base	2013SM38	39
Total Nacional	34 Palencia	Dato base	2013SM37	24
Total Nacional	34 Palencia	Dato base	2013SM36	30
Total Nacional	34 Palencia	Dato base	2013SM35	36
Total Nacional	34 Palencia	Dato base	2013SM34	33
Total Nacional	34 Palencia	Dato base	2013SM33	37
Total Nacional	34 Palencia	Dato base	2013SM32	33
Total Nacional	34 Palencia	Dato base	2013SM31	33
Total Nacional	34 Palencia	Dato base	2013SM30	40
Total Nacional	34 Palencia	Dato base	2013SM29	47
Total Nacional	34 Palencia	Dato base	2013SM28	47
Total Nacional	34 Palencia	Dato base	2013SM27	38
Total Nacional	34 Palencia	Dato base	2013SM26	40
Total Nacional	34 Palencia	Dato base	2013SM25	35
Total Nacional	34 Palencia	Dato base	2013SM24	34
Total Nacional	34 Palencia	Dato base	2013SM23	33
Total Nacional	34 Palencia	Dato base	2013SM22	34
Total Nacional	34 Palencia	Dato base	2013SM21	40
Total Nacional	34 Palencia	Dato base	2013SM20	41
Total Nacional	34 Palencia	Dato base	2013SM19	30
Total Nacional	34 Palencia	Dato base	2013SM18	31
Total Nacional	34 Palencia	Dato base	2013SM17	50
Total Nacional	34 Palencia	Dato base	2013SM16	37
Total Nacional	34 Palencia	Dato base	2013SM15	31
Total Nacional	34 Palencia	Dato base	2013SM14	41
Total Nacional	34 Palencia	Dato base	2013SM13	29
Total Nacional	34 Palencia	Dato base	2013SM12	57
Total Nacional	34 Palencia	Dato base	2013SM11	45
Total Nacional	34 Palencia	Dato base	2013SM10	36
Total Nacional	34 Palencia	Dato base	2013SM09	38
Total Nacional	34 Palencia	Dato base	2013SM08	42
Total Nacional	34 Palencia	Dato base	2013SM07	49
Total Nacional	34 Palencia	Dato base	2013SM06	34
Total Nacional	34 Palencia	Dato base	2013SM05	38
Total Nacional	34 Palencia	Dato base	2013SM04	54
Total Nacional	34 Palencia	Dato base	2013SM03	51
Total Nacional	34 Palencia	Dato base	2013SM02	42
Total Nacional	34 Palencia	Dato base	2013SM01	45
Total Nacional	34 Palencia	Dato base	2012SM52	38
Total Nacional	34 Palencia	Dato base	2012SM51	38
Total Nacional	34 Palencia	Dato base	2012SM50	43
Total Nacional	34 Palencia	Dato base	2012SM49	40
Total Nacional	34 Palencia	Dato base	2012SM48	35
Total Nacional	34 Palencia	Dato base	2012SM47	37
Total Nacional	34 Palencia	Dato base	2012SM46	40
Total Nacional	34 Palencia	Dato base	2012SM45	39
Total Nacional	34 Palencia	Dato base	2012SM44	34
Total Nacional	34 Palencia	Dato base	2012SM43	31
Total Nacional	34 Palencia	Dato base	2012SM42	35
Total Nacional	34 Palencia	Dato base	2012SM41	36
Total Nacional	34 Palencia	Dato base	2012SM40	42
Total Nacional	34 Palencia	Dato base	2012SM39	31
Total Nacional	34 Palencia	Dato base	2012SM38	31
Total Nacional	34 Palencia	Dato base	2012SM37	29
Total Nacional	34 Palencia	Dato base	2012SM36	33
Total Nacional	34 Palencia	Dato base	2012SM35	33
Total Nacional	34 Palencia	Dato base	2012SM34	28
Total Nacional	34 Palencia	Dato base	2012SM33	34
Total Nacional	34 Palencia	Dato base	2012SM32	40
Total Nacional	34 Palencia	Dato base	2012SM31	32
Total Nacional	34 Palencia	Dato base	2012SM30	41
Total Nacional	34 Palencia	Dato base	2012SM29	40
Total Nacional	34 Palencia	Dato base	2012SM28	33
Total Nacional	34 Palencia	Dato base	2012SM27	31
Total Nacional	34 Palencia	Dato base	2012SM26	40
Total Nacional	34 Palencia	Dato base	2012SM25	41
Total Nacional	34 Palencia	Dato base	2012SM24	39
Total Nacional	34 Palencia	Dato base	2012SM23	40
Total Nacional	34 Palencia	Dato base	2012SM22	48
Total Nacional	34 Palencia	Dato base	2012SM21	50
Total Nacional	34 Palencia	Dato base	2012SM20	40
Total Nacional	34 Palencia	Dato base	2012SM19	36
Total Nacional	34 Palencia	Dato base	2012SM18	39
Total Nacional	34 Palencia	Dato base	2012SM17	36
Total Nacional	34 Palencia	Dato base	2012SM16	31
Total Nacional	34 Palencia	Dato base	2012SM15	42
Total Nacional	34 Palencia	Dato base	2012SM14	35
Total Nacional	34 Palencia	Dato base	2012SM13	45
Total Nacional	34 Palencia	Dato base	2012SM12	36
Total Nacional	34 Palencia	Dato base	2012SM11	63
Total Nacional	34 Palencia	Dato base	2012SM10	46
Total Nacional	34 Palencia	Dato base	2012SM09	48
Total Nacional	34 Palencia	Dato base	2012SM08	51
Total Nacional	34 Palencia	Dato base	2012SM07	49
Total Nacional	34 Palencia	Dato base	2012SM06	53
Total Nacional	34 Palencia	Dato base	2012SM05	52
Total Nacional	34 Palencia	Dato base	2012SM04	52
Total Nacional	34 Palencia	Dato base	2012SM03	44
Total Nacional	34 Palencia	Dato base	2012SM02	49
Total Nacional	34 Palencia	Dato base	2012SM01	54
Total Nacional	34 Palencia	Dato base	2011SM52	46
Total Nacional	34 Palencia	Dato base	2011SM51	40
Total Nacional	34 Palencia	Dato base	2011SM50	41
Total Nacional	34 Palencia	Dato base	2011SM49	36
Total Nacional	34 Palencia	Dato base	2011SM48	31
Total Nacional	34 Palencia	Dato base	2011SM47	35
Total Nacional	34 Palencia	Dato base	2011SM46	33
Total Nacional	34 Palencia	Dato base	2011SM45	35
Total Nacional	34 Palencia	Dato base	2011SM44	44
Total Nacional	34 Palencia	Dato base	2011SM43	35
Total Nacional	34 Palencia	Dato base	2011SM42	51
Total Nacional	34 Palencia	Dato base	2011SM41	29
Total Nacional	34 Palencia	Dato base	2011SM40	35
Total Nacional	34 Palencia	Dato base	2011SM39	37
Total Nacional	34 Palencia	Dato base	2011SM38	28
Total Nacional	34 Palencia	Dato base	2011SM37	30
Total Nacional	34 Palencia	Dato base	2011SM36	33
Total Nacional	34 Palencia	Dato base	2011SM35	28
Total Nacional	34 Palencia	Dato base	2011SM34	27
Total Nacional	34 Palencia	Dato base	2011SM33	40
Total Nacional	34 Palencia	Dato base	2011SM32	50
Total Nacional	34 Palencia	Dato base	2011SM31	43
Total Nacional	34 Palencia	Dato base	2011SM30	39
Total Nacional	34 Palencia	Dato base	2011SM29	39
Total Nacional	34 Palencia	Dato base	2011SM28	35
Total Nacional	34 Palencia	Dato base	2011SM27	41
Total Nacional	34 Palencia	Dato base	2011SM26	39
Total Nacional	34 Palencia	Dato base	2011SM25	34
Total Nacional	34 Palencia	Dato base	2011SM24	33
Total Nacional	34 Palencia	Dato base	2011SM23	41
Total Nacional	34 Palencia	Dato base	2011SM22	26
Total Nacional	34 Palencia	Dato base	2011SM21	36
Total Nacional	34 Palencia	Dato base	2011SM20	42
Total Nacional	34 Palencia	Dato base	2011SM19	30
Total Nacional	34 Palencia	Dato base	2011SM18	29
Total Nacional	34 Palencia	Dato base	2011SM17	38
Total Nacional	34 Palencia	Dato base	2011SM16	43
Total Nacional	34 Palencia	Dato base	2011SM15	29
Total Nacional	34 Palencia	Dato base	2011SM14	42
Total Nacional	34 Palencia	Dato base	2011SM13	38
Total Nacional	34 Palencia	Dato base	2011SM12	31
Total Nacional	34 Palencia	Dato base	2011SM11	41
Total Nacional	34 Palencia	Dato base	2011SM10	39
Total Nacional	34 Palencia	Dato base	2011SM09	36
Total Nacional	34 Palencia	Dato base	2011SM08	37
Total Nacional	34 Palencia	Dato base	2011SM07	45
Total Nacional	34 Palencia	Dato base	2011SM06	41
Total Nacional	34 Palencia	Dato base	2011SM05	39
Total Nacional	34 Palencia	Dato base	2011SM04	47
Total Nacional	34 Palencia	Dato base	2011SM03	47
Total Nacional	34 Palencia	Dato base	2011SM02	52
Total Nacional	34 Palencia	Dato base	2011SM01	46
Total Nacional	34 Palencia	Dato base	2010SM52	39
Total Nacional	34 Palencia	Dato base	2010SM51	36
Total Nacional	34 Palencia	Dato base	2010SM50	37
Total Nacional	34 Palencia	Dato base	2010SM49	38
Total Nacional	34 Palencia	Dato base	2010SM48	34
Total Nacional	34 Palencia	Dato base	2010SM47	40
Total Nacional	34 Palencia	Dato base	2010SM46	35
Total Nacional	34 Palencia	Dato base	2010SM45	36
Total Nacional	34 Palencia	Dato base	2010SM44	27
Total Nacional	34 Palencia	Dato base	2010SM43	37
Total Nacional	34 Palencia	Dato base	2010SM42	35
Total Nacional	34 Palencia	Dato base	2010SM41	38
Total Nacional	34 Palencia	Dato base	2010SM40	39
Total Nacional	34 Palencia	Dato base	2010SM39	30
Total Nacional	34 Palencia	Dato base	2010SM38	41
Total Nacional	34 Palencia	Dato base	2010SM37	31
Total Nacional	34 Palencia	Dato base	2010SM36	41
Total Nacional	34 Palencia	Dato base	2010SM35	29
Total Nacional	34 Palencia	Dato base	2010SM34	45
Total Nacional	34 Palencia	Dato base	2010SM33	34
Total Nacional	34 Palencia	Dato base	2010SM32	34
Total Nacional	34 Palencia	Dato base	2010SM31	25
Total Nacional	34 Palencia	Dato base	2010SM30	42
Total Nacional	34 Palencia	Dato base	2010SM29	38
Total Nacional	34 Palencia	Dato base	2010SM28	42
Total Nacional	34 Palencia	Dato base	2010SM27	45
Total Nacional	34 Palencia	Dato base	2010SM26	41
Total Nacional	34 Palencia	Dato base	2010SM25	45
Total Nacional	34 Palencia	Dato base	2010SM24	28
Total Nacional	34 Palencia	Dato base	2010SM23	37
Total Nacional	34 Palencia	Dato base	2010SM22	39
Total Nacional	34 Palencia	Dato base	2010SM21	36
Total Nacional	34 Palencia	Dato base	2010SM20	43
Total Nacional	34 Palencia	Dato base	2010SM19	40
Total Nacional	34 Palencia	Dato base	2010SM18	39
Total Nacional	34 Palencia	Dato base	2010SM17	40
Total Nacional	34 Palencia	Dato base	2010SM16	38
Total Nacional	34 Palencia	Dato base	2010SM15	38
Total Nacional	34 Palencia	Dato base	2010SM14	48
Total Nacional	34 Palencia	Dato base	2010SM13	31
Total Nacional	34 Palencia	Dato base	2010SM12	40
Total Nacional	34 Palencia	Dato base	2010SM11	43
Total Nacional	34 Palencia	Dato base	2010SM10	40
Total Nacional	34 Palencia	Dato base	2010SM09	30
Total Nacional	34 Palencia	Dato base	2010SM08	46
Total Nacional	34 Palencia	Dato base	2010SM07	39
Total Nacional	34 Palencia	Dato base	2010SM06	39
Total Nacional	34 Palencia	Dato base	2010SM05	43
Total Nacional	34 Palencia	Dato base	2010SM04	35
Total Nacional	34 Palencia	Dato base	2010SM03	66
Total Nacional	34 Palencia	Dato base	2010SM02	39
Total Nacional	34 Palencia	Dato base	2010SM01	63
Total Nacional	34 Palencia	Dato base	2009SM53	34
Total Nacional	34 Palencia	Dato base	2009SM52	29
Total Nacional	34 Palencia	Dato base	2009SM51	54
Total Nacional	34 Palencia	Dato base	2009SM50	40
Total Nacional	34 Palencia	Dato base	2009SM49	51
Total Nacional	34 Palencia	Dato base	2009SM48	50
Total Nacional	34 Palencia	Dato base	2009SM47	34
Total Nacional	34 Palencia	Dato base	2009SM46	44
Total Nacional	34 Palencia	Dato base	2009SM45	37
Total Nacional	34 Palencia	Dato base	2009SM44	39
Total Nacional	34 Palencia	Dato base	2009SM43	53
Total Nacional	34 Palencia	Dato base	2009SM42	35
Total Nacional	34 Palencia	Dato base	2009SM41	35
Total Nacional	34 Palencia	Dato base	2009SM40	33
Total Nacional	34 Palencia	Dato base	2009SM39	40
Total Nacional	34 Palencia	Dato base	2009SM38	31
Total Nacional	34 Palencia	Dato base	2009SM37	33
Total Nacional	34 Palencia	Dato base	2009SM36	38
Total Nacional	34 Palencia	Dato base	2009SM35	29
Total Nacional	34 Palencia	Dato base	2009SM34	41
Total Nacional	34 Palencia	Dato base	2009SM33	43
Total Nacional	34 Palencia	Dato base	2009SM32	33
Total Nacional	34 Palencia	Dato base	2009SM31	40
Total Nacional	34 Palencia	Dato base	2009SM30	34
Total Nacional	34 Palencia	Dato base	2009SM29	39
Total Nacional	34 Palencia	Dato base	2009SM28	33
Total Nacional	34 Palencia	Dato base	2009SM27	40
Total Nacional	34 Palencia	Dato base	2009SM26	27
Total Nacional	34 Palencia	Dato base	2009SM25	40
Total Nacional	34 Palencia	Dato base	2009SM24	34
Total Nacional	34 Palencia	Dato base	2009SM23	34
Total Nacional	34 Palencia	Dato base	2009SM22	35
Total Nacional	34 Palencia	Dato base	2009SM21	20
Total Nacional	34 Palencia	Dato base	2009SM20	38
Total Nacional	34 Palencia	Dato base	2009SM19	36
Total Nacional	34 Palencia	Dato base	2009SM18	46
Total Nacional	34 Palencia	Dato base	2009SM17	53
Total Nacional	34 Palencia	Dato base	2009SM16	50
Total Nacional	34 Palencia	Dato base	2009SM15	44
Total Nacional	34 Palencia	Dato base	2009SM14	29
Total Nacional	34 Palencia	Dato base	2009SM13	43
Total Nacional	34 Palencia	Dato base	2009SM12	45
Total Nacional	34 Palencia	Dato base	2009SM11	41
Total Nacional	34 Palencia	Dato base	2009SM10	39
Total Nacional	34 Palencia	Dato base	2009SM09	48
Total Nacional	34 Palencia	Dato base	2009SM08	50
Total Nacional	34 Palencia	Dato base	2009SM07	45
Total Nacional	34 Palencia	Dato base	2009SM06	44
Total Nacional	34 Palencia	Dato base	2009SM05	33
Total Nacional	34 Palencia	Dato base	2009SM04	45
Total Nacional	34 Palencia	Dato base	2009SM03	47
Total Nacional	34 Palencia	Dato base	2009SM02	43
Total Nacional	34 Palencia	Dato base	2009SM01	41
Total Nacional	34 Palencia	Dato base	2008SM52	49
Total Nacional	34 Palencia	Dato base	2008SM51	45
Total Nacional	34 Palencia	Dato base	2008SM50	42
Total Nacional	34 Palencia	Dato base	2008SM49	40
Total Nacional	34 Palencia	Dato base	2008SM48	39
Total Nacional	34 Palencia	Dato base	2008SM47	29
Total Nacional	34 Palencia	Dato base	2008SM46	40
Total Nacional	34 Palencia	Dato base	2008SM45	39
Total Nacional	34 Palencia	Dato base	2008SM44	34
Total Nacional	34 Palencia	Dato base	2008SM43	32
Total Nacional	34 Palencia	Dato base	2008SM42	33
Total Nacional	34 Palencia	Dato base	2008SM41	38
Total Nacional	34 Palencia	Dato base	2008SM40	40
Total Nacional	34 Palencia	Dato base	2008SM39	37
Total Nacional	34 Palencia	Dato base	2008SM38	37
Total Nacional	34 Palencia	Dato base	2008SM37	37
Total Nacional	34 Palencia	Dato base	2008SM36	28
Total Nacional	34 Palencia	Dato base	2008SM35	33
Total Nacional	34 Palencia	Dato base	2008SM34	27
Total Nacional	34 Palencia	Dato base	2008SM33	31
Total Nacional	34 Palencia	Dato base	2008SM32	40
Total Nacional	34 Palencia	Dato base	2008SM31	28
Total Nacional	34 Palencia	Dato base	2008SM30	28
Total Nacional	34 Palencia	Dato base	2008SM29	31
Total Nacional	34 Palencia	Dato base	2008SM28	32
Total Nacional	34 Palencia	Dato base	2008SM27	34
Total Nacional	34 Palencia	Dato base	2008SM26	37
Total Nacional	34 Palencia	Dato base	2008SM25	40
Total Nacional	34 Palencia	Dato base	2008SM24	33
Total Nacional	34 Palencia	Dato base	2008SM23	20
Total Nacional	34 Palencia	Dato base	2008SM22	37
Total Nacional	34 Palencia	Dato base	2008SM21	27
Total Nacional	34 Palencia	Dato base	2008SM20	38
Total Nacional	34 Palencia	Dato base	2008SM19	43
Total Nacional	34 Palencia	Dato base	2008SM18	35
Total Nacional	34 Palencia	Dato base	2008SM17	34
Total Nacional	34 Palencia	Dato base	2008SM16	39
Total Nacional	34 Palencia	Dato base	2008SM15	28
Total Nacional	34 Palencia	Dato base	2008SM14	35
Total Nacional	34 Palencia	Dato base	2008SM13	42
Total Nacional	34 Palencia	Dato base	2008SM12	39
Total Nacional	34 Palencia	Dato base	2008SM11	38
Total Nacional	34 Palencia	Dato base	2008SM10	38
Total Nacional	34 Palencia	Dato base	2008SM09	44
Total Nacional	34 Palencia	Dato base	2008SM08	42
Total Nacional	34 Palencia	Dato base	2008SM07	48
Total Nacional	34 Palencia	Dato base	2008SM06	49
Total Nacional	34 Palencia	Dato base	2008SM05	55
Total Nacional	34 Palencia	Dato base	2008SM04	42
Total Nacional	34 Palencia	Dato base	2008SM03	43
Total Nacional	34 Palencia	Dato base	2008SM02	37
Total Nacional	34 Palencia	Dato base	2008SM01	47
Total Nacional	34 Palencia	Dato base	2007SM52	48
Total Nacional	34 Palencia	Dato base	2007SM51	43
Total Nacional	34 Palencia	Dato base	2007SM50	40
Total Nacional	34 Palencia	Dato base	2007SM49	39
Total Nacional	34 Palencia	Dato base	2007SM48	54
Total Nacional	34 Palencia	Dato base	2007SM47	42
Total Nacional	34 Palencia	Dato base	2007SM46	38
Total Nacional	34 Palencia	Dato base	2007SM45	41
Total Nacional	34 Palencia	Dato base	2007SM44	29
Total Nacional	34 Palencia	Dato base	2007SM43	48
Total Nacional	34 Palencia	Dato base	2007SM42	42
Total Nacional	34 Palencia	Dato base	2007SM41	45
Total Nacional	34 Palencia	Dato base	2007SM40	34
Total Nacional	34 Palencia	Dato base	2007SM39	38
Total Nacional	34 Palencia	Dato base	2007SM38	36
Total Nacional	34 Palencia	Dato base	2007SM37	27
Total Nacional	34 Palencia	Dato base	2007SM36	44
Total Nacional	34 Palencia	Dato base	2007SM35	33
Total Nacional	34 Palencia	Dato base	2007SM34	40
Total Nacional	34 Palencia	Dato base	2007SM33	30
Total Nacional	34 Palencia	Dato base	2007SM32	36
Total Nacional	34 Palencia	Dato base	2007SM31	36
Total Nacional	34 Palencia	Dato base	2007SM30	36
Total Nacional	34 Palencia	Dato base	2007SM29	34
Total Nacional	34 Palencia	Dato base	2007SM28	43
Total Nacional	34 Palencia	Dato base	2007SM27	37
Total Nacional	34 Palencia	Dato base	2007SM26	24
Total Nacional	34 Palencia	Dato base	2007SM25	38
Total Nacional	34 Palencia	Dato base	2007SM24	46
Total Nacional	34 Palencia	Dato base	2007SM23	29
Total Nacional	34 Palencia	Dato base	2007SM22	35
Total Nacional	34 Palencia	Dato base	2007SM21	39
Total Nacional	34 Palencia	Dato base	2007SM20	44
Total Nacional	34 Palencia	Dato base	2007SM19	46
Total Nacional	34 Palencia	Dato base	2007SM18	43
Total Nacional	34 Palencia	Dato base	2007SM17	26
Total Nacional	34 Palencia	Dato base	2007SM16	38
Total Nacional	34 Palencia	Dato base	2007SM15	43
Total Nacional	34 Palencia	Dato base	2007SM14	30
Total Nacional	34 Palencia	Dato base	2007SM13	33
Total Nacional	34 Palencia	Dato base	2007SM12	43
Total Nacional	34 Palencia	Dato base	2007SM11	27
Total Nacional	34 Palencia	Dato base	2007SM10	49
Total Nacional	34 Palencia	Dato base	2007SM09	44
Total Nacional	34 Palencia	Dato base	2007SM08	38
Total Nacional	34 Palencia	Dato base	2007SM07	54
Total Nacional	34 Palencia	Dato base	2007SM06	37
Total Nacional	34 Palencia	Dato base	2007SM05	63
Total Nacional	34 Palencia	Dato base	2007SM04	50
Total Nacional	34 Palencia	Dato base	2007SM03	32
Total Nacional	34 Palencia	Dato base	2007SM02	43
Total Nacional	34 Palencia	Dato base	2007SM01	48
Total Nacional	34 Palencia	Dato base	2006SM52	43
Total Nacional	34 Palencia	Dato base	2006SM51	23
Total Nacional	34 Palencia	Dato base	2006SM50	44
Total Nacional	34 Palencia	Dato base	2006SM49	33
Total Nacional	34 Palencia	Dato base	2006SM48	45
Total Nacional	34 Palencia	Dato base	2006SM47	27
Total Nacional	34 Palencia	Dato base	2006SM46	36
Total Nacional	34 Palencia	Dato base	2006SM45	31
Total Nacional	34 Palencia	Dato base	2006SM44	49
Total Nacional	34 Palencia	Dato base	2006SM43	43
Total Nacional	34 Palencia	Dato base	2006SM42	42
Total Nacional	34 Palencia	Dato base	2006SM41	29
Total Nacional	34 Palencia	Dato base	2006SM40	33
Total Nacional	34 Palencia	Dato base	2006SM39	35
Total Nacional	34 Palencia	Dato base	2006SM38	32
Total Nacional	34 Palencia	Dato base	2006SM37	33
Total Nacional	34 Palencia	Dato base	2006SM36	48
Total Nacional	34 Palencia	Dato base	2006SM35	40
Total Nacional	34 Palencia	Dato base	2006SM34	30
Total Nacional	34 Palencia	Dato base	2006SM33	26
Total Nacional	34 Palencia	Dato base	2006SM32	34
Total Nacional	34 Palencia	Dato base	2006SM31	36
Total Nacional	34 Palencia	Dato base	2006SM30	42
Total Nacional	34 Palencia	Dato base	2006SM29	30
Total Nacional	34 Palencia	Dato base	2006SM28	28
Total Nacional	34 Palencia	Dato base	2006SM27	44
Total Nacional	34 Palencia	Dato base	2006SM26	34
Total Nacional	34 Palencia	Dato base	2006SM25	36
Total Nacional	34 Palencia	Dato base	2006SM24	41
Total Nacional	34 Palencia	Dato base	2006SM23	31
Total Nacional	34 Palencia	Dato base	2006SM22	29
Total Nacional	34 Palencia	Dato base	2006SM21	34
Total Nacional	34 Palencia	Dato base	2006SM20	29
Total Nacional	34 Palencia	Dato base	2006SM19	40
Total Nacional	34 Palencia	Dato base	2006SM18	35
Total Nacional	34 Palencia	Dato base	2006SM17	31
Total Nacional	34 Palencia	Dato base	2006SM16	42
Total Nacional	34 Palencia	Dato base	2006SM15	30
Total Nacional	34 Palencia	Dato base	2006SM14	39
Total Nacional	34 Palencia	Dato base	2006SM13	37
Total Nacional	34 Palencia	Dato base	2006SM12	37
Total Nacional	34 Palencia	Dato base	2006SM11	46
Total Nacional	34 Palencia	Dato base	2006SM10	36
Total Nacional	34 Palencia	Dato base	2006SM09	40
Total Nacional	34 Palencia	Dato base	2006SM08	39
Total Nacional	34 Palencia	Dato base	2006SM07	44
Total Nacional	34 Palencia	Dato base	2006SM06	36
Total Nacional	34 Palencia	Dato base	2006SM05	41
Total Nacional	34 Palencia	Dato base	2006SM04	48
Total Nacional	34 Palencia	Dato base	2006SM03	36
Total Nacional	34 Palencia	Dato base	2006SM02	33
Total Nacional	34 Palencia	Dato base	2006SM01	45
Total Nacional	34 Palencia	Dato base	2005SM52	39
Total Nacional	34 Palencia	Dato base	2005SM51	48
Total Nacional	34 Palencia	Dato base	2005SM50	41
Total Nacional	34 Palencia	Dato base	2005SM49	37
Total Nacional	34 Palencia	Dato base	2005SM48	31
Total Nacional	34 Palencia	Dato base	2005SM47	28
Total Nacional	34 Palencia	Dato base	2005SM46	23
Total Nacional	34 Palencia	Dato base	2005SM45	44
Total Nacional	34 Palencia	Dato base	2005SM44	38
Total Nacional	34 Palencia	Dato base	2005SM43	33
Total Nacional	34 Palencia	Dato base	2005SM42	30
Total Nacional	34 Palencia	Dato base	2005SM41	36
Total Nacional	34 Palencia	Dato base	2005SM40	27
Total Nacional	34 Palencia	Dato base	2005SM39	29
Total Nacional	34 Palencia	Dato base	2005SM38	34
Total Nacional	34 Palencia	Dato base	2005SM37	39
Total Nacional	34 Palencia	Dato base	2005SM36	28
Total Nacional	34 Palencia	Dato base	2005SM35	31
Total Nacional	34 Palencia	Dato base	2005SM34	35
Total Nacional	34 Palencia	Dato base	2005SM33	38
Total Nacional	34 Palencia	Dato base	2005SM32	32
Total Nacional	34 Palencia	Dato base	2005SM31	41
Total Nacional	34 Palencia	Dato base	2005SM30	25
Total Nacional	34 Palencia	Dato base	2005SM29	32
Total Nacional	34 Palencia	Dato base	2005SM28	34
Total Nacional	34 Palencia	Dato base	2005SM27	29
Total Nacional	34 Palencia	Dato base	2005SM26	36
Total Nacional	34 Palencia	Dato base	2005SM25	29
Total Nacional	34 Palencia	Dato base	2005SM24	43
Total Nacional	34 Palencia	Dato base	2005SM23	33
Total Nacional	34 Palencia	Dato base	2005SM22	34
Total Nacional	34 Palencia	Dato base	2005SM21	40
Total Nacional	34 Palencia	Dato base	2005SM20	42
Total Nacional	34 Palencia	Dato base	2005SM19	33
Total Nacional	34 Palencia	Dato base	2005SM18	34
Total Nacional	34 Palencia	Dato base	2005SM17	36
Total Nacional	34 Palencia	Dato base	2005SM16	43
Total Nacional	34 Palencia	Dato base	2005SM15	38
Total Nacional	34 Palencia	Dato base	2005SM14	43
Total Nacional	34 Palencia	Dato base	2005SM13	52
Total Nacional	34 Palencia	Dato base	2005SM12	49
Total Nacional	34 Palencia	Dato base	2005SM11	44
Total Nacional	34 Palencia	Dato base	2005SM10	49
Total Nacional	34 Palencia	Dato base	2005SM09	53
Total Nacional	34 Palencia	Dato base	2005SM08	52
Total Nacional	34 Palencia	Dato base	2005SM07	46
Total Nacional	34 Palencia	Dato base	2005SM06	48
Total Nacional	34 Palencia	Dato base	2005SM05	42
Total Nacional	34 Palencia	Dato base	2005SM04	62
Total Nacional	34 Palencia	Dato base	2005SM03	58
Total Nacional	34 Palencia	Dato base	2005SM02	66
Total Nacional	34 Palencia	Dato base	2005SM01	56
Total Nacional	34 Palencia	Dato base	2004SM53	62
Total Nacional	34 Palencia	Dato base	2004SM52	37
Total Nacional	34 Palencia	Dato base	2004SM51	44
Total Nacional	34 Palencia	Dato base	2004SM50	42
Total Nacional	34 Palencia	Dato base	2004SM49	44
Total Nacional	34 Palencia	Dato base	2004SM48	33
Total Nacional	34 Palencia	Dato base	2004SM47	37
Total Nacional	34 Palencia	Dato base	2004SM46	36
Total Nacional	34 Palencia	Dato base	2004SM45	34
Total Nacional	34 Palencia	Dato base	2004SM44	34
Total Nacional	34 Palencia	Dato base	2004SM43	47
Total Nacional	34 Palencia	Dato base	2004SM42	34
Total Nacional	34 Palencia	Dato base	2004SM41	49
Total Nacional	34 Palencia	Dato base	2004SM40	33
Total Nacional	34 Palencia	Dato base	2004SM39	31
Total Nacional	34 Palencia	Dato base	2004SM38	30
Total Nacional	34 Palencia	Dato base	2004SM37	39
Total Nacional	34 Palencia	Dato base	2004SM36	27
Total Nacional	34 Palencia	Dato base	2004SM35	28
Total Nacional	34 Palencia	Dato base	2004SM34	23
Total Nacional	34 Palencia	Dato base	2004SM33	39
Total Nacional	34 Palencia	Dato base	2004SM32	33
Total Nacional	34 Palencia	Dato base	2004SM31	28
Total Nacional	34 Palencia	Dato base	2004SM30	25
Total Nacional	34 Palencia	Dato base	2004SM29	38
Total Nacional	34 Palencia	Dato base	2004SM28	34
Total Nacional	34 Palencia	Dato base	2004SM27	44
Total Nacional	34 Palencia	Dato base	2004SM26	32
Total Nacional	34 Palencia	Dato base	2004SM25	24
Total Nacional	34 Palencia	Dato base	2004SM24	29
Total Nacional	34 Palencia	Dato base	2004SM23	28
Total Nacional	34 Palencia	Dato base	2004SM22	38
Total Nacional	34 Palencia	Dato base	2004SM21	37
Total Nacional	34 Palencia	Dato base	2004SM20	36
Total Nacional	34 Palencia	Dato base	2004SM19	35
Total Nacional	34 Palencia	Dato base	2004SM18	52
Total Nacional	34 Palencia	Dato base	2004SM17	38
Total Nacional	34 Palencia	Dato base	2004SM16	28
Total Nacional	34 Palencia	Dato base	2004SM15	33
Total Nacional	34 Palencia	Dato base	2004SM14	34
Total Nacional	34 Palencia	Dato base	2004SM13	50
Total Nacional	34 Palencia	Dato base	2004SM12	37
Total Nacional	34 Palencia	Dato base	2004SM11	39
Total Nacional	34 Palencia	Dato base	2004SM10	38
Total Nacional	34 Palencia	Dato base	2004SM09	47
